[Wed Aug 10 09:13:03.253 2016] 0.047 sec [all/0/rel 0 (0,20)] [testmysql] Ü½ÈØ½Ö
[Wed Aug 10 09:13:27.663 2016] 0.001 sec [all/0/rel 0 (0,20)] [testmysql] Ü½ÈØ
[Wed Aug 10 09:13:42.372 2016] 0.011 sec [all/0/rel 58 (0,20)] [testmysql] 123
[Wed Aug 10 09:16:59.284 2016] 0.001 sec [all/0/rel 58 (0,20)] [testmysql] 123
[Wed Aug 10 09:17:12.484 2016] 0.001 sec [all/0/rel 58 (0,20)] [testmysql] 123
[Wed Aug 10 09:17:37.894 2016] 0.001 sec [all/0/rel 0 (0,20)] [testmysql] ÆëÂ³Èí¼þÔ°
[Wed Aug 10 09:17:52.032 2016] 0.001 sec [all/0/rel 0 (0,20)] [testmysql] Èí¼þ
[Wed Aug 10 10:14:05.648 2016] 0.006 sec [all/0/rel 0 (0,20)] [testmysql] ½ÖµÀ
[Wed Aug 10 10:14:14.788 2016] 0.001 sec [all/0/rel 3 (0,20)] [testmysql] 456
[Wed Aug 10 10:16:03.987 2016] 0.001 sec [all/0/rel 3 (0,20)] [testmysql] 456
[Wed Aug 10 10:16:17.866 2016] 0.001 sec [all/0/rel 0 (0,20)] [testmysql] Ü½ÈØ
[Wed Aug 10 10:36:56.365 2016] 0.002 sec [all/0/rel 0 (0,20)] [testmysql] Ü½ÈØ
[Wed Aug 10 10:36:58.267 2016] 0.002 sec [all/0/rel 0 (0,20)] [testmysql] Ü½ÈØ
[Wed Aug 10 10:37:44.564 2016] 0.001 sec [all/0/rel 0 (0,20)] [testmysql] Ü½ÈØ
[Wed Aug 10 10:38:21.649 2016] 0.001 sec [all/0/rel 0 (0,20)] [testmysql] Ü½ÈØ
[Wed Aug 10 10:38:32.254 2016] 0.001 sec [all/0/rel 0 (0,20)] [testmysql] Ü½
[Wed Aug 10 10:45:46.001 2016] 0.006 sec [any/0/rel 0 (0,20)] [testmysql] Ü½
[Wed Aug 10 10:52:04.093 2016] 0.002 sec [any/0/rel 0 (0,20)] [testmysql] &#x8299;&#x84C9;&#x8857;
[Wed Aug 10 10:54:10.293 2016] 0.002 sec [any/0/rel 0 (0,20)] [testmysql] ""/1
[Wed Aug 10 10:54:12.755 2016] 0.002 sec [any/0/rel 0 (0,20)] [testmysql] ""/1
[Wed Aug 10 14:30:55.548 2016] 0.001 sec [any/0/rel 0 (0,20)] [jinanmysql] ""/1
[Wed Aug 10 14:31:05.000 2016] 0.002 sec [any/0/rel 5 (0,20)] [jinanmysql] abc
[Wed Aug 10 14:31:27.004 2016] 0.001 sec [any/0/rel 5 (0,20)] [jinanmysql] abc
[Wed Aug 10 14:31:29.770 2016] 0.001 sec [any/0/rel 5 (0,20)] [jinanmysql] abc
[Wed Aug 10 14:31:41.593 2016] 0.001 sec [any/0/rel 0 (0,20)] [jinanmysql] Ü½ÈØ
[Wed Aug 10 14:34:45.767 2016] 0.001 sec [any/0/rel 0 (0,20)] [jinanmysql] Ü½ÈØ
[Wed Aug 10 14:34:47.813 2016] 0.001 sec [any/0/rel 0 (0,20)] [jinanmysql] Ü½ÈØ
[Wed Aug 10 14:34:50.117 2016] 0.001 sec [any/0/rel 0 (0,20)] [jinanmysql] Ü½ÈØ
[Wed Aug 10 14:35:13.676 2016] 0.001 sec [any/0/rel 0 (0,20)] [jinanmysql] Ü½ÈØ
[Wed Aug 10 14:39:29.726 2016] 0.002 sec [any/0/rel 0 (0,20)] [jinanmysql] Ü½ÈØ
[Wed Aug 10 14:39:32.075 2016] 0.000 sec [any/0/rel 0 (0,20)] [jinanmysql] Ü½ÈØ
[Wed Aug 10 14:39:54.744 2016] 0.002 sec [any/0/rel 5 (0,20)] [jinanmysql] abc
[Wed Aug 10 14:39:56.935 2016] 0.001 sec [any/0/rel 5 (0,20)] [jinanmysql] abc
[Wed Aug 10 14:40:34.000 2016] 0.001 sec [any/0/rel 0 (0,20)] [jinanmysql] ÌìÇÅ
[Wed Aug 10 14:40:45.114 2016] 0.001 sec [any/0/rel 0 (0,20)] [jinanmysql] ÌìÇÅ
[Wed Aug 10 14:41:02.842 2016] 0.001 sec [any/0/rel 0 (0,20)] [jinanmysql] ÌìÇÅ
[Wed Aug 10 15:00:37.493 2016] 0.006 sec [any/0/rel 0 (0,20)] [jinan] ÌìÇÅ
[Wed Aug 10 15:03:56.982 2016] 0.001 sec [any/0/rel 460 (0,20)] [jinan] å¤©æ¡¥
[Wed Aug 10 15:04:48.366 2016] 0.004 sec [any/0/rel 4572 (0,20)] [jinan] èŠ™è“‰è¡—
[Wed Aug 10 15:05:11.879 2016] 0.001 sec [any/0/rel 41 (0,20)] [jinan] èŠ™è“‰
[Wed Aug 10 15:05:28.898 2016] 0.002 sec [any/0/rel 41 (0,20)] [jinan] èŠ™è“‰
[Wed Aug 10 15:06:02.472 2016] 0.002 sec [any/0/rel 41 (0,50)] [jinan] èŠ™è“‰
[Wed Aug 10 15:06:14.932 2016] 0.001 sec [any/0/rel 41 (0,50)] [jinan] èŠ™è“‰
[Wed Aug 10 15:06:49.977 2016] 0.002 sec [any/0/rel 41 (0,50)] [jinan] èŠ™è“‰
[Wed Aug 10 15:07:04.596 2016] 0.004 sec [any/0/rel 41 (0,50)] [jinan] èŠ™è“‰
[Wed Aug 10 15:08:12.009 2016] 0.002 sec [any/0/rel 41 (0,50)] [jinan] èŠ™è“‰
[Wed Aug 10 15:08:26.361 2016] 0.002 sec [any/0/rel 41 (0,50)] [jinan] èŠ™è“‰
[Wed Aug 10 15:08:57.231 2016] 0.001 sec [all/0/rel 41 (0,50)] [jinan] èŠ™è“‰
[Wed Aug 10 15:09:05.181 2016] 0.002 sec [all/0/rel 22 (0,50)] [jinan] èŠ™è“‰è¡—
